%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
171      I1         0.7357388406   2.133923259    0.415143026    5.596082035    2.297200661    2.890261119    0.8278554303   0.1412122454   2.164952034    
172      I1         1.254082153    1.686736869    0.3154184469   8.936535391    2.42140412     2.478705676    0.5066281206   1.032764807    1.622382614    
173      I1         1.80468192     1.181177565    0.09140988043  2.249918897    1.708535756    3.079349576    0.7438563747   0.04327774358  1.909175734    
174      I1         0.6729906473   1.442057733    0.3028261628   6.083045783    1.638446769    3.057368475    0.6592928065   0.004649429026 2.208565865    
175      I1         0.866175135    2.353332986    0.8099838296   9.894516746    1.509882863    1.229929665    0.6165501647   0.108510361    2.258311997    
176      I1         0.3052678245   2.578719527    0.3040124925   6.360435239    2.89194969     3.29787669     0.4237330284   0.0795569201   2.010866452    
177      I1         1.101323509    1.511267464    0.4468695913   1.144788363    1.37185977     3.172487166    0.4482537276   0.7015949808   2.089325384    
178      I1         1.870099175    2.637878489    0.3182065859   2.756046349    2.232400154    1.920692786    0.3997885374   0.7030031297   1.396592318    
179      I1         1.452181115    2.477854227    0.1838472716   9.03470731     1.571553906    2.814085776    0.8806951897   0.02769421387  2.021383544    
180      I1         0.4689079693   1.767639995    0.8990153957   1.014452211    2.444050761    2.749427564    0.2435784505   0.295680958    2.36016117     
181      I1         1.301021493    1.322749343    0.7657031035   5.197905472    1.598984007    1.566564386    0.9197033532   0.8743494011   1.976662573    
182      I1         0.3540151082   2.288418569    0.6889745238   5.127866693    1.446415472    1.285702522    0.9097535428   0.07120276843  2.51032832     
183      I1         1.860860465    1.693992783    0.7011329494   0.3255666208   2.218038965    2.443164437    0.298146081    0.355771208    1.622471014    
184      I1         1.467821931    1.105283673    0.9375802072   4.265448546    1.994259935    2.569583398    0.05329286614  0.8306725358   1.883874112    
